Method,Time,Layers,Alpha,Tolerance,TSS Mean,TSS Std,HSS Mean,HSS Std
only_cme,12,36,0.0001,0.001,0.3268,0.1171,0.3299,0.1185
only_cme,12,36,0.001,1e-07,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,0.001,1e-06,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,0.001,1e-05,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,0.001,0.0001,0.2551,0.1722,0.2823,0.1635
only_cme,12,36,0.001,0.001,0.3268,0.1171,0.3299,0.1185
only_cme,12,54,1e-07,1e-07,0.3567,0.2496,0.383,0.2414
only_cme,12,54,1e-07,1e-06,0.3567,0.2496,0.383,0.2414
only_cme,12,54,1e-07,1e-05,0.3567,0.2496,0.383,0.2414
only_cme,12,54,1e-07,0.0001,0.3582,0.2539,0.3888,0.2428
only_cme,12,54,1e-07,0.001,0.3193,0.212,0.3399,0.21
only_cme,12,54,1e-06,1e-07,0.3567,0.2496,0.383,0.2414
only_cme,12,54,1e-06,1e-06,0.3567,0.2496,0.383,0.2414
only_cme,12,54,1e-06,1e-05,0.3567,0.2496,0.383,0.2414
