,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
91,1449,11429,M1.0,2012.03.05_22:53_TAI,5.34372e+22,87.113,-0.03198765,17437.64,44.474,4982.73,59.007,-0.04895942,50.295,105.161,0.03144535,75373810000000.0,78387910000000.0,1.54878e+24,45.095,1696.176147,5.14,2139.27
92,1461,11432,M2.8,2012.03.13_15:21_TAI,1.058218e+22,126.924,0.00411638,3337.981,21.286,983.65,66.198,0.01412823,41.745,124.766,0.25322834,21860180000000.0,2445701000000.0,8.238706e+22,33.482,642.784607,3.787,76.499
93,1464,11434,M1.3,2012.03.16_20:39_TAI,2.767229e+21,138.36,-0.00194985,4796.413,18.16,198.732,77.622,-0.00488519,42.442,136.899,0.51736277,4166289000000.0,1115142000000.0,2.637755e+22,29.235,241.32724,1.791,8.074
94,1603,11466,M1.0,2012.04.26_08:24_TAI,1.048427e+22,113.961,-0.00188085,8157.979,40.546,869.138,73.219,-0.0042109,52.722,113.759,0.19832262,17679060000000.0,1729185000000.0,1.77236e+23,41.447,640.428589,3.502,30.769
95,1621,11471,M1.9,2012.05.06_14:31_TAI,1.953963e+22,108.513,0.00658093,8061.136,29.219,1327.887,55.322,0.01529754,44.329,110.791,0.05994317,28069810000000.0,4524158000000.0,3.21873e+23,36.516,1043.385986,3.982,197.862
96,1638,11476,M1.4,2012.05.07_13:08_TAI,5.838539e+22,81.776,-0.01193569,11962.1,35.431,4436.884,51.393,-0.02195435,45.203,94.783,-0.17196316,75107000000000.0,33275190000000.0,1.206429e+24,39.016,2070.157715,4.893,906.396
97,1638,11476,M4.7,2012.05.08_12:32_TAI,5.335726e+22,91.023,-0.01174574,13697.73,39.496,4528.863,56.705,-0.0225083,48.303,100.464,-0.06462008,81140860000000.0,36234650000000.0,1.34291e+24,41.767,2101.604492,5.036,867.047
98,1638,11476,M1.8,2012.05.08_14:08_TAI,5.496303e+22,91.594,-0.01024266,13285.5,39.596,4706.012,56.637,-0.02048146,48.221,100.309,0.03676296,86459520000000.0,31787940000000.0,1.379722e+24,41.863,2103.246338,4.998,800.925
99,1638,11476,M4.1,2012.05.08_21:05_TAI,5.763523e+22,94.918,-0.01830544,14480.71,40.453,5181.452,58.991,-0.03440739,48.401,104.554,-0.05783235,90192800000000.0,62051140000000.0,1.537828e+24,41.708,2200.788086,5.012,1463.74
100,1638,11476,M5.7,2012.05.09_04:18_TAI,5.651745e+22,99.936,-0.0207438,16276.84,41.434,5671.095,62.289,-0.03561827,49.07,110.57,-0.01588017,93042140000000.0,57905990000000.0,1.635062e+24,42.523,2241.9021,5.014,1569.04
101,1638,11476,M1.7,2012.05.09_20:26_TAI,5.340647e+22,101.468,-0.02082801,16973.37,44.767,5736.261,64.816,-0.03743197,51.514,110.248,0.10764008,95576430000000.0,62709920000000.0,1.718353e+24,44.695,2265.826416,5.036,1587.74
102,1724,11494,M2.1,2012.06.05_20:06_TAI,1.126306e+22,93.119,-0.01063705,11896.75,48.689,828.694,56.791,-0.02421721,54.734,96.71,0.09629487,18979470000000.0,12519730000000.0,2.988301e+23,46.019,602.955261,3.95,201.178
103,1806,11513,M2.2,2012.06.28_09:20_TAI,1.749541e+22,95.037,-0.00967815,5961.756,22.975,1210.981,49.201,-0.02469104,39.905,100.979,0.24259862,24919760000000.0,14835170000000.0,2.124576e+23,33.281,447.584595,4.225,259.694
104,1806,11513,M1.0,2012.06.29_12:52_TAI,2.471748e+22,99.775,-0.00746616,5369.743,17.272,1623.642,47.054,-0.01932264,35.629,102.098,-0.18597855,32494000000000.0,10462330000000.0,2.597419e+23,30.141,804.453552,4.321,271.932
105,1806,11513,M1.6,2012.06.29_18:32_TAI,2.505534e+22,100.95,-0.00859686,5424.941,18.954,1689.604,47.415,-0.02412549,36.809,102.938,0.08535949,34340730000000.0,14124580000000.0,2.836797e+23,30.765,831.18219,4.256,338.501
106,1806,11513,M2.8,2012.06.30_19:18_TAI,1.927027e+22,112.564,-0.01071424,6979.958,24.947,1357.55,55.917,-0.02664618,41.006,113.443,0.26148286,28518000000000.0,14077150000000.0,2.705454e+23,34.277,1014.035095,4.179,312.695
107,1806,11513,M1.1,2012.07.01_00:35_TAI,2.333341e+22,106.627,-0.00739572,5943.36,28.645,1645.932,55.223,-0.0214011,44.073,107.978,0.22861546,37629930000000.0,13153940000000.0,3.138513e+23,36.702,1142.950562,4.297,294.061
108,1807,11515,M5.6,2012.07.01_10:52_TAI,3.076736e+22,97.398,-0.00603785,11244.71,45.962,2465.574,62.626,-0.0135043,53.24,102.111,-0.05028529,54790960000000.0,12081230000000.0,7.466142e+23,45.83,1408.566406,4.694,301.862
109,1807,11515,M3.8,2012.07.01_20:07_TAI,3.1251e+22,102.835,-0.01027716,13474.08,47.854,2977.109,69.71,-0.02006016,53.938,112.327,-0.1751529,58595280000000.0,20356280000000.0,8.321153e+23,46.246,1514.467773,4.792,477.908
110,1807,11515,M2.3,2012.07.03_04:37_TAI,3.622097e+22,98.284,-0.00380672,11095.89,50.846,3454.176,66.605,-0.00923782,57.127,103.868,-0.16034313,74679740000000.0,16468980000000.0,9.317767e+23,48.26,1705.946899,4.916,240.699
