HARPNUM NOAA_Number Class Peak_Time USFLUX MEANGBT MEANJZH MEANPOT SHRGT45 TOTUSJH MEANGBH MEANALP MEANGAM MEANGBZ MEANJZD TOTUSJZ SAVNCPP TOTPOT MEANSHR AREA_ACR R_VALUE ABSNJZH
892 11302 M3.1 2011.09.23_17:25_TAI 6.422736e+22 69.786 -0.00567599 13657.85 38.494 4981.326 45.895 -0.00993897 46.93 81.922 0.07621145 8.057844e+13 7.387503e+12 1.588437e+24 41.732 1944.554321 4.821 497.041
892 11302 M3.0 2011.09.23_19:21_TAI 6.42261e+22 70.763 -0.00547463 13972.19 39.541 5176.428 46.256 -0.00951464 47.66 82.81 0.09937092 8.11446e+13 7.325251e+12 1.649545e+24 41.858 1929.158325 4.879 486.656
892 11302 M5.8 2011.09.23_20:36_TAI 6.113208e+22 73.03 -0.00994061 16451.81 42.032 4938.852 48.648 -0.0171051 48.596 86.24 0.05651997 8.090979e+13 1.35232e+13 1.826423e+24 43.14 1931.594238 4.877 830.946
892 11302 M4.4 2011.09.24_02:33_TAI 6.32517e+22 75.753 -0.01156281 16342.98 41.631 5322.797 49.084 -0.01970278 48.822 89.884 0.08630764 8.855749e+13 2.026279e+13 1.898748e+24 42.922 1947.435059 4.898 1011.503
892 11302 M7.4 2011.09.24_04:50_TAI 5.992547e+22 78.623 -0.01181853 17541.26 41.665 5291.53 51.398 -0.01929872 48.766 93.238 0.04959757 8.589818e+13 2.193212e+13 1.867116e+24 42.986 1942.631958 4.945 947.219
892 11302 M3.1 2011.09.24_08:49_TAI 5.619301e+22 77.44 -0.0043581 17942.22 44.161 5283.075 51.712 -0.00744126 50.116 93.249 0.05512072 8.579739e+13 5.999849e+12 1.829494e+24 44.195 1899.690552 4.921 334.602
892 11302 M3.7 2011.09.24_15:33_TAI 5.469613e+22 76.019 -0.00488012 17483.81 45.848 5109.388 50.774 -0.0088384 50.895 91.137 0.03607413 8.622076e+13 1.091718e+13 1.811568e+24 45.381 1908.942871 4.971 380.747
899 11303 M2.2 2011.09.24_16:58_TAI 7.933051e+21 90.834 -0.00824956 5320.33 23.41 604.139 50.645 -0.02026665 42.93 103.652 -0.20951498 1.163464e+13 1.390684e+12 8.641273e+22 33.423 118.25827 3.57 100.884
892 11302 M4.0 2011.09.25_05:08_TAI 5.355437e+22 84.726 -0.00803906 19544.82 48.566 5671.832 55.148 -0.01225743 51.925 99.048 0.13372317 8.416286e+13 1.921828e+13 1.872105e+24 46.424 1809.962891 5.13 579.809
892 11302 M2.6 2011.09.25_14:46_TAI 4.899913e+22 81.978 -0.0059772 18442.0 51.57 5307.525 55.812 -0.01064995 53.792 93.348 0.14873804 8.432024e+13 1.79545e+13 1.762013e+24 48.333 1821.53833 5.152 429.999
892 11302 M1.2 2011.09.27_13:28_TAI 3.931496e+22 79.424 -0.00552456 18040.51 61.095 3677.712 58.116 -0.01098146 61.06 87.719 0.27131569 7.289724e+13 1.021025e+13 1.56924e+24 53.813 1907.038086 4.915 361.836
902 11305 M1.0 2011.09.29_19:06_TAI 9.640016e+21 95.57 -0.01176608 11757.76 51.307 888.04 60.396 -0.02854551 57.869 95.594 0.28894952 2.046917e+13 8.702267e+12 2.843772e+23 48.928 479.951324 3.761 214.284
902 11305 M3.9 2011.10.01_00:50_TAI 1.039067e+22 96.445 -0.0261536 13969.57 54.497 1073.162 65.091 -0.05782404 61.605 96.256 0.38523424 2.284871e+13 2.13017e+13 3.694301e+23 50.554 596.812256 4.228 520.77
892 11302 M1.3 2011.10.01_17:23_TAI 3.928816e+22 91.414 -0.01254783 11115.18 41.303 2996.875 52.293 -0.0266321 49.366 95.953 0.12047285 6.226616e+13 3.323528e+13 9.117118e+23 42.809 1571.734619 4.646 774.979
940 11319 M1.3 2011.10.20_13:00_TAI 7.612103e+22 76.737 -0.00090533 5013.263 18.688 3421.399 33.865 -0.00283183 36.746 79.172 0.04495918 7.917134e+13 5.284615e+12 8.668968e+23 30.219 2073.495361 4.501 117.878
940 11314 M1.3 2011.10.21_11:10_TAI 6.738001e+22 63.795 -0.00150556 5748.075 20.017 2696.022 30.526 -0.00438706 37.683 68.411 0.04593207 5.617084e+13 5.226402e+12 8.389968e+23 29.497 1666.92334 4.506 165.467
1028 11339 M1.0 2011.11.03_20:40_TAI 8.444332e+22 72.424 -0.0013413 12417.4 37.801 5695.781 45.564 -0.0025688 46.098 83.482 -0.02667546 1.019497e+14 3.294812e+12 1.915957e+24 40.565 2569.760742 4.977 155.829
1028 11339 M3.7 2011.11.04_03:35_TAI 8.310847e+22 75.907 -0.00020461 12231.91 37.506 5748.408 46.347 -0.00038815 45.779 86.19 -0.01051962 1.008982e+14 6.187872e+11 1.845686e+24 40.499 2652.738037 4.975 23.247
1028 11339 M1.1 2011.11.04_11:21_TAI 8.061574e+22 74.531 -0.00042322 11193.56 36.896 5606.214 45.015 -0.00090441 45.858 84.995 -0.02594888 1.032717e+14 8.330338e+12 1.744634e+24 40.565 2714.874023 5.029 49.669
1028 11339 M1.8 2011.11.04_20:38_TAI 8.29885e+22 83.651 -0.00116566 11792.68 37.423 6148.942 49.506 -0.00232505 46.011 93.716 0.02608811 1.148393e+14 3.323885e+12 1.836793e+24 40.964 2813.589844 5.12 136.708
1028 11339 M1.2 2011.11.05_01:03_TAI 8.472279e+22 82.109 -0.00104592 11148.7 38.3 6053.082 48.455 -0.00224201 46.672 91.135 0.02013253 1.178585e+14 4.978396e+12 1.878537e+24 41.631 2838.06543 5.138 132.696
1028 11339 M1.4 2011.11.05_06:35_TAI 7.862209e+22 82.295 -0.00108287 11001.48 39.803 5834.367 49.45 -0.00248651 48.012 90.828 0.07269865 1.182425e+14 7.294764e+12 1.802622e+24 42.539 2838.521973 5.138 133.6
1041 11342 M1.1 2011.11.08_13:35_TAI 4.01261e+22 89.517 0.00095265 5191.978 23.802 2565.447 42.752 0.00304988 39.668 91.132 0.03683924 6.126637e+13 3.48057e+12 4.802835e+23 34.265 1352.241943 4.191 66.353
1066 11346 M1.9 2011.11.14_12:43_TAI 2.461717e+22 94.541 0.00393811 3598.469 11.659 1338.549 40.348 0.01249618 33.055 97.313 0.14474551 3.004176e+13 6.959031e+12 1.888441e+23 26.495 680.660095 4.079 155.614
1209 11387 M1.5 2011.12.25_02:27_TAI 3.677181e+21 123.223 0.00332162 3031.315 28.187 346.118 65.489 0.01299297 47.871 122.237 0.26166794 8.52055e+12 2.462219e+12 3.03499e+22 36.493 202.226044 3.224 25.038
1209 11387 M2.3 2011.12.25_20:30_TAI 9.218676e+21 115.117 0.02568825 8406.541 40.818 1405.997 74.058 0.0723488 51.905 124.479 0.10649417 2.518827e+13 1.95024e+13 1.888881e+23 43.618 355.334747 4.401 434.62
1256 11389 M1.2 2011.12.29_03:09_TAI 6.940578e+22 76.111 0.00243398 5211.059 19.512 3558.924 34.995 0.00688553 35.695 85.181 -0.04504848 7.44423e+13 9.142099e+12 7.552288e+23 30.213 1743.220459 0.0 265.604
1256 11389 M2.4 2011.12.30_13:15_TAI 6.290718e+22 89.953 0.00300409 5619.266 21.757 4030.386 43.336 0.00858723 38.232 93.217 -0.10155504 9.017031e+13 1.702091e+13 7.646138e+23 33.124 2069.264893 4.654 307.781
