Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
flare_linked,24,100000.0,0.01,0.1918,0.0623,0.1738,0.0606
flare_linked,24,100000.0,0.07,0.1565,0.0397,0.1524,0.0379
flare_linked,24,100000.0,0.001,0.1893,0.0541,0.1505,0.0446
flare_linked,24,100000.0,0.005,0.2002,0.0717,0.1705,0.0623
only_cme,24,0.001,1.0,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.1,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.01,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.07,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.001,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.005,0.0,0.0,0.0,0.0
only_cme,24,0.01,1.0,0.0,0.0,0.0,0.0
only_cme,24,0.01,0.1,0.3455,0.0835,0.2801,0.0574
only_cme,24,0.01,0.01,0.3678,0.0915,0.2685,0.0587
only_cme,24,0.01,0.07,0.3617,0.0736,0.2899,0.0513
only_cme,24,0.01,0.001,0.0,0.0,0.0,0.0
only_cme,24,0.01,0.005,0.3387,0.0954,0.223,0.0895
only_cme,24,0.1,1.0,0.1374,0.0841,0.1802,0.1018
only_cme,24,0.1,0.1,0.4067,0.0893,0.3206,0.0598
only_cme,24,0.1,0.01,0.4032,0.0756,0.3034,0.0468
only_cme,24,0.1,0.07,0.4203,0.0861,0.3313,0.0561
only_cme,24,0.1,0.001,0.3732,0.0751,0.2592,0.0455
only_cme,24,0.1,0.005,0.3823,0.0824,0.2811,0.0507
only_cme,24,1.0,1.0,0.2428,0.132,0.2488,0.1217
only_cme,24,1.0,0.1,0.4338,0.0962,0.3439,0.0675
only_cme,24,1.0,0.01,0.4232,0.0823,0.3319,0.0529
only_cme,24,1.0,0.07,0.438,0.0929,0.3464,0.0651
only_cme,24,1.0,0.001,0.3945,0.0752,0.2895,0.0489
only_cme,24,1.0,0.005,0.4199,0.0805,0.3293,0.0507
only_cme,24,10.0,1.0,0.1825,0.0948,0.2085,0.0975
only_cme,24,10.0,0.1,0.3897,0.1204,0.3192,0.0929
only_cme,24,10.0,0.01,0.4222,0.1055,0.3324,0.0738
only_cme,24,10.0,0.07,0.4073,0.1069,0.3249,0.0792
only_cme,24,10.0,0.001,0.4157,0.1001,0.3309,0.0677
only_cme,24,10.0,0.005,0.4186,0.0963,0.3223,0.0638
only_cme,24,100.0,1.0,0.1778,0.09,0.2037,0.0925
only_cme,24,100.0,0.1,0.3365,0.1097,0.2976,0.0881
only_cme,24,100.0,0.01,0.4349,0.0976,0.3515,0.0693
only_cme,24,100.0,0.07,0.368,0.1265,0.3163,0.1011
only_cme,24,100.0,0.001,0.4247,0.0905,0.3272,0.0627
