datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,24,gini,10,5,0.1520919268161999,0.054939609627356695,0.355711474068962,0.04172978183046197,0.6780162057507394,0.023138620391520627,0.5078034008851618,0.07417829149559563
Non_temporal,SMOTE,24,gini,10,10,0.15079895578482763,0.05974639909521353,0.3753482606139611,0.03976841628368769,0.6816686875989499,0.025570340594103527,0.5261472163987887,0.06944407208553914
Non_temporal,SMOTE,24,gini,12,2,0.15918916103493627,0.08434051633401664,0.3206617590675562,0.05160476158967343,0.664357269202978,0.04645419433807116,0.4798509201024925,0.0605910275426502
Non_temporal,SMOTE,24,gini,12,3,0.16563327849901546,0.06713509787780525,0.29284564067172764,0.029358942840024303,0.656732851287302,0.03785911529259139,0.45847891917074307,0.05255528550226708
Non_temporal,SMOTE,24,gini,12,5,0.1411846238206643,0.11369247172072731,0.3692393221378729,0.06927952972018567,0.6827268186087282,0.05208882831563671,0.5104239459585371,0.10419808547667529
Non_temporal,SMOTE,24,gini,12,10,0.17950185168305666,0.08199129602726914,0.3434424762927179,0.05511980770628044,0.6617624306297997,0.04351972866547026,0.5229443279757746,0.07654295822440814
Non_temporal,SMOTE,24,entropy,2,2,0.1375863929869946,0.03219995265206391,0.46280960049075986,0.11339672771712898,0.6954066363998175,0.020078135075602205,0.6003959934777545,0.10610839166506855
Non_temporal,SMOTE,24,entropy,2,3,0.09660593898584964,0.03506455668844755,0.42039848682360764,0.15750180517665027,0.7034551095942656,0.02345988484578146,0.5170044258094573,0.1546047784171019
Non_temporal,SMOTE,24,entropy,2,5,0.14145831313819648,0.03735914663481325,0.5309153183549319,0.09526138299583016,0.7025661373978965,0.01500090905719262,0.6723736314931283,0.11173540687968296
Non_temporal,SMOTE,24,entropy,2,10,0.1763494812442037,0.07223456300420365,0.5444751169388851,0.06273154717573164,0.6945913801428002,0.020693168032485755,0.7208245981830887,0.10484431779319366
Non_temporal,SMOTE,24,entropy,6,2,0.14432168212589322,0.07301730374714423,0.4535120006134498,0.05210844869184865,0.6950825133572933,0.027667212921752622,0.5978336827393431,0.08552932900904268
Non_temporal,SMOTE,24,entropy,6,3,0.13182047041768122,0.05745988559625067,0.434974311785906,0.10015237535518554,0.6956915842363411,0.0205591190602898,0.5667947822035871,0.11768940103099015
Non_temporal,SMOTE,24,entropy,6,5,0.1869556054224726,0.022353714761770338,0.43190067223883655,0.0637263879514013,0.6758493005755922,0.011536749644299987,0.618856277661309,0.0705556253359792
Non_temporal,SMOTE,24,entropy,6,10,0.15672185786578274,0.08768529862358318,0.5051695933338446,0.06328728243332549,0.6997088520408724,0.02626599137174748,0.6618914511996273,0.14677959217989572
Non_temporal,SMOTE,24,entropy,10,2,0.13943023912488864,0.0917961789207575,0.40209084170436826,0.03950813364621264,0.6913482898018285,0.038754247156951215,0.5415210808292569,0.09632150885715174
Non_temporal,SMOTE,24,entropy,10,3,0.15667797112059256,0.04223553683633641,0.37307977404595766,0.1162031663310077,0.6730196725856447,0.029010699193117453,0.5297577451665502,0.11636241659241092
Non_temporal,SMOTE,24,entropy,10,5,0.18634227610164175,0.0990268563572976,0.43303811057434244,0.04301962999589519,0.6796235492410547,0.03569411969475386,0.6193803866759842,0.11937873905903985
Non_temporal,SMOTE,24,entropy,10,10,0.15722390293988142,0.04976881720447902,0.3907611890703678,0.06616266398450948,0.6799237052933355,0.028441376451453376,0.5479850920102493,0.0745364910099482
