datatype,sampling,time_step,penalty,C,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Temporal,SMOTE,12,l2,0.05,0.2597889957264958,0.11714662672643518,0.328886217948718,0.07901275890196864,0.7403523924905504,0.0523353590493493,0.5886752136752137,0.09696358949210832
Temporal,SMOTE,12,l2,0.1,0.2433360042735043,0.11109996852644427,0.33145032051282053,0.08168767914190345,0.7463851361700824,0.05361687763692656,0.5747863247863249,0.10254184231369083
Temporal,SMOTE,12,l2,1.5,0.24684829059829058,0.06268193554812342,0.2873397435897436,0.05617010040554817,0.7338458263745621,0.04698886333906227,0.5341880341880342,0.03731677178754912
Temporal,SMOTE,12,l2,10.0,0.2127938034188034,0.1084025015095788,0.29254807692307694,0.047441717201900366,0.7501461926749283,0.062416301088269864,0.5053418803418804,0.08931649490823448
Temporal,SMOTE,24,l1,0.001,,,,,,,,
Temporal,SMOTE,24,l1,0.01,,,,,,,,
Temporal,SMOTE,24,l1,0.05,0.11625605577218483,0.13319340818636174,0.5108806963645672,0.07244702037277023,0.8047858663667488,0.030844164376466088,0.6271367521367522,0.16709415371494185
Temporal,SMOTE,24,l1,0.1,0.17443577927448897,0.15532081554724614,0.43881208397337423,0.07631908126556279,0.7838611761025555,0.04359974716834113,0.6132478632478633,0.19226020306328193
Temporal,SMOTE,24,l1,1.5,0.22067135373586988,0.18274850623727956,0.35304659498207885,0.05204526188835006,0.757201545297876,0.06890825676100117,0.5737179487179488,0.1797445499078199
Temporal,SMOTE,24,l1,10.0,0.2066380453477228,0.21080444108703156,0.34250725379757635,0.06048662146336661,0.7592959309079576,0.07657897122347372,0.5491452991452992,0.19697563549558142
Temporal,SMOTE,24,l2,0.001,0.1168567095986451,0.1606048307814549,0.4013056835637481,0.047009923076819775,0.7980457929086556,0.05066505198923186,0.5181623931623932,0.1747864553945973
Temporal,SMOTE,24,l2,0.01,0.14576358527971436,0.12860415764213962,0.3852193207031917,0.058875914394647164,0.7892944147355911,0.03710462617394088,0.530982905982906,0.18215420328145734
Temporal,SMOTE,24,l2,0.05,0.20460304331272072,0.14168061217879815,0.35308926437958693,0.05919525070320983,0.7657730906372211,0.04264286826752856,0.5576923076923078,0.18950955768069846
Temporal,SMOTE,24,l2,0.1,0.21584642955610697,0.14827303807786565,0.3557347670250896,0.04634079266237864,0.7608309460147695,0.046971890731184025,0.5715811965811967,0.17506051780164414
Temporal,SMOTE,24,l2,1.5,0.2264973676263999,0.14979773780829161,0.334400068271036,0.05746344968337732,0.7520562770562771,0.0577485161625996,0.5608974358974359,0.16869857720086012
Temporal,SMOTE,24,l2,10.0,0.22218939960875447,0.19195579474963947,0.33977641235705747,0.0563810659478596,0.754803216496765,0.06918235925552334,0.561965811965812,0.1881555552371907
Temporal,SMOTE,36,l1,0.001,,,,,,,,
Temporal,SMOTE,36,l1,0.01,,,,,,,,
Temporal,SMOTE,36,l1,0.05,0.17679900744416874,0.08666858066939022,0.5026881720430108,0.08903492022408169,0.7819438287602204,0.03413246849074928,0.6794871794871794,0.04979136836637197
Temporal,SMOTE,36,l1,0.1,0.211641852770885,0.12002516831773359,0.40053763440860224,0.08504995709438912,0.7587301587301587,0.04997479838549578,0.6121794871794871,0.0760050274009932
Temporal,SMOTE,36,l1,1.5,0.29721532947339396,0.08795134000212618,0.3010752688172043,0.04808748338709225,0.7132775308397344,0.035311859570173854,0.5982905982905983,0.09928427483323882
Temporal,SMOTE,36,l1,10.0,0.24010890543148608,0.06956997399888544,0.29301075268817206,0.03886245240537894,0.7294139194139194,0.03536149602300292,0.5331196581196581,0.052654792864750465
Temporal,SMOTE,36,l2,0.001,0.15408740005514202,0.08641399510844192,0.3790322580645162,0.06763304099682325,0.7744274921362848,0.0418882872899437,0.5331196581196581,0.052654792864750465
Temporal,SMOTE,36,l2,0.01,0.2157430383236835,0.0567759616287552,0.3440860215053763,0.08046575025320303,0.7462460627783208,0.040884917376288535,0.5598290598290598,0.038043790202489026
Temporal,SMOTE,36,l2,0.05,0.2410049627791563,0.061888872481718045,0.31989247311827956,0.07297780623923779,0.7347222222222222,0.03749790033594462,0.5608974358974358,0.08630071806305294
Temporal,SMOTE,36,l2,0.1,0.24576095947063684,0.10324774645133894,0.3279569892473118,0.06223568227306573,0.739295299440227,0.044860356386100204,0.5737179487179487,0.13020607328742087
Temporal,SMOTE,36,l2,1.5,0.2945271574303833,0.11564031902652593,0.30376344086021506,0.07415652808674043,0.710046805046805,0.05487714358573057,0.5982905982905983,0.08879741348367584
Temporal,SMOTE,36,l2,10.0,0.2833953680727874,0.07237639819892008,0.2903225806451613,0.042673408242977266,0.7135470085470086,0.032561887220784125,0.5737179487179488,0.07097266530018108
Temporal,RandomOverSampler,12,l1,0.001,,,,,,,,
Temporal,RandomOverSampler,12,l1,0.01,,,,,,,,
Temporal,RandomOverSampler,12,l1,0.05,0.2286191239316239,0.041671710757172103,0.4818509615384616,0.06472669169316406,0.7813226156085847,0.014025098059152839,0.7104700854700855,0.08320310885657066
Temporal,RandomOverSampler,12,l1,0.1,0.1886485042735043,0.16157773698435587,0.3989583333333333,0.06101314286004363,0.779986074889726,0.052708591711390904,0.5876068376068376,0.13900389715632985
Temporal,RandomOverSampler,12,l1,1.5,0.23572382478632478,0.08924865449471436,0.3262419871794872,0.06875510121308336,0.7479343240837494,0.047883514451654195,0.561965811965812,0.057889817026256694
Temporal,RandomOverSampler,12,l1,10.0,0.21579861111111112,0.1173472974222576,0.3183894230769231,0.08207104762744397,0.7514382019864475,0.0649637246764003,0.5341880341880342,0.10320756133105403
Temporal,RandomOverSampler,12,l2,0.001,0.11486378205128205,0.19380493951431876,0.36270032051282053,0.09534651221098565,0.7921858672936257,0.07254694844792153,0.4775641025641026,0.1381183424770208
Temporal,RandomOverSampler,12,l2,0.01,0.17586805555555554,0.14760161609806724,0.34443108974358977,0.07710508024236978,0.7736394951100833,0.05119656458395454,0.5202991452991453,0.13113201033579366
Temporal,RandomOverSampler,12,l2,0.05,0.2623931623931624,0.10183004150805418,0.3262820512820513,0.07415370789654452,0.7399499654934437,0.043938931389659756,0.5886752136752137,0.08418505135936714
Temporal,RandomOverSampler,12,l2,0.1,0.2649973290598291,0.09172806624833227,0.32367788461538466,0.06822926076901531,0.7378896430367018,0.0459144249154326,0.5886752136752137,0.04957311007743666
Temporal,RandomOverSampler,12,l2,1.5,0.23808760683760685,0.10416832743032879,0.336698717948718,0.071423182566809,0.7478209676126343,0.057908692233852116,0.5747863247863249,0.03543402553798505
Temporal,RandomOverSampler,12,l2,10.0,0.2409321581196581,0.08650929164553069,0.32103365384615384,0.07017594398958864,0.7433412131974863,0.05649180300126475,0.561965811965812,0.057889817026256694
Temporal,RandomOverSampler,24,l1,0.001,,,,,,,,
Temporal,RandomOverSampler,24,l1,0.01,,,,,,,,
Temporal,RandomOverSampler,24,l1,0.05,0.1896884477529639,0.1401898173302704,0.49193548387096775,0.03716582904490118,0.7844870098182072,0.0367252609345572,0.6816239316239315,0.14432175034844685
Temporal,RandomOverSampler,24,l1,0.1,0.23357392309005212,0.13670369194087623,0.40638334186721287,0.03508877632934087,0.7614615025796977,0.041692027737317366,0.6399572649572649,0.13849797056837926
Temporal,RandomOverSampler,24,l1,1.5,0.2399808972389618,0.1704780479308706,0.32091653865847414,0.05297719740150914,0.7383596650263318,0.07308351049064278,0.560897435897436,0.13511050582280765
